subject,threshold,ensemble_acc_all,ensemble_acc_confident,ensemble_coverage,ensemble_name
1,0.55,0.7586805555555556,0.7898832684824902,0.8923611111111112,LDA_SVM_subject
1,0.6,0.7586805555555556,0.8033126293995859,0.8385416666666666,LDA_SVM_subject
1,0.65,0.7586805555555556,0.841743119266055,0.7569444444444444,LDA_SVM_subject
1,0.7,0.7586805555555556,0.8677248677248677,0.65625,LDA_SVM_subject
1,0.75,0.7586805555555556,0.9049180327868852,0.5295138888888888,LDA_SVM_subject
1,0.8,0.7586805555555556,0.9315068493150684,0.3802083333333333,LDA_SVM_subject
1,0.85,0.7586805555555556,0.9357798165137615,0.1892361111111111,LDA_SVM_subject
1,0.9,0.7586805555555556,1.0,0.03298611111111111,LDA_SVM_subject
1,0.95,0.7586805555555556,,0.0,LDA_SVM_subject
1,1.0,0.7586805555555556,,0.0,LDA_SVM_subject
2,0.55,0.5920138888888888,0.7526501766784452,0.4913194444444444,LDA_SVM_subject
2,0.6,0.5920138888888888,0.8026315789473685,0.3958333333333333,LDA_SVM_subject
2,0.65,0.5920138888888888,0.8324324324324325,0.3211805555555556,LDA_SVM_subject
2,0.7,0.5920138888888888,0.8623188405797102,0.23958333333333334,LDA_SVM_subject
2,0.75,0.5920138888888888,0.8691588785046729,0.1857638888888889,LDA_SVM_subject
2,0.8,0.5920138888888888,0.9411764705882353,0.08854166666666667,LDA_SVM_subject
2,0.85,0.5920138888888888,,0.0,LDA_SVM_subject
2,0.9,0.5920138888888888,,0.0,LDA_SVM_subject
2,0.95,0.5920138888888888,,0.0,LDA_SVM_subject
2,1.0,0.5920138888888888,,0.0,LDA_SVM_subject
3,0.55,0.8194444444444444,0.8603773584905661,0.9201388888888888,LDA_SVM_subject
3,0.6,0.8194444444444444,0.8782435129740519,0.8697916666666666,LDA_SVM_subject
3,0.65,0.8194444444444444,0.902542372881356,0.8194444444444444,LDA_SVM_subject
3,0.7,0.8194444444444444,0.9183673469387755,0.765625,LDA_SVM_subject
3,0.75,0.8194444444444444,0.9414758269720102,0.6822916666666666,LDA_SVM_subject
3,0.8,0.8194444444444444,0.9616519174041298,0.5885416666666666,LDA_SVM_subject
3,0.85,0.8194444444444444,0.9776119402985075,0.4652777777777778,LDA_SVM_subject
3,0.9,0.8194444444444444,1.0,0.203125,LDA_SVM_subject
3,0.95,0.8194444444444444,,0.0,LDA_SVM_subject
3,1.0,0.8194444444444444,,0.0,LDA_SVM_subject
4,0.55,0.5729166666666666,0.6828358208955224,0.4652777777777778,LDA_SVM_subject
4,0.6,0.5729166666666666,0.7569060773480663,0.3142361111111111,LDA_SVM_subject
4,0.65,0.5729166666666666,0.7938144329896907,0.1684027777777778,LDA_SVM_subject
4,0.7,0.5729166666666666,0.8648648648648649,0.0642361111111111,LDA_SVM_subject
4,0.75,0.5729166666666666,0.8,0.008680555555555556,LDA_SVM_subject
4,0.8,0.5729166666666666,,0.0,LDA_SVM_subject
4,0.85,0.5729166666666666,,0.0,LDA_SVM_subject
4,0.9,0.5729166666666666,,0.0,LDA_SVM_subject
4,0.95,0.5729166666666666,,0.0,LDA_SVM_subject
4,1.0,0.5729166666666666,,0.0,LDA_SVM_subject
5,0.55,0.3940972222222222,0.65,0.10416666666666667,LDA_SVM_subject
5,0.6,0.3940972222222222,0.75,0.0625,LDA_SVM_subject
5,0.65,0.3940972222222222,0.8095238095238095,0.036458333333333336,LDA_SVM_subject
5,0.7,0.3940972222222222,1.0,0.010416666666666666,LDA_SVM_subject
5,0.75,0.3940972222222222,,0.0,LDA_SVM_subject
5,0.8,0.3940972222222222,,0.0,LDA_SVM_subject
5,0.85,0.3940972222222222,,0.0,LDA_SVM_subject
5,0.9,0.3940972222222222,,0.0,LDA_SVM_subject
5,0.95,0.3940972222222222,,0.0,LDA_SVM_subject
5,1.0,0.3940972222222222,,0.0,LDA_SVM_subject
6,0.55,0.53125,0.6923076923076923,0.3611111111111111,LDA_SVM_subject
6,0.6,0.53125,0.7416666666666667,0.20833333333333334,LDA_SVM_subject
6,0.65,0.53125,0.7192982456140351,0.09895833333333333,LDA_SVM_subject
6,0.7,0.53125,0.8333333333333334,0.041666666666666664,LDA_SVM_subject
6,0.75,0.53125,0.6666666666666666,0.005208333333333333,LDA_SVM_subject
6,0.8,0.53125,,0.0,LDA_SVM_subject
6,0.85,0.53125,,0.0,LDA_SVM_subject
6,0.9,0.53125,,0.0,LDA_SVM_subject
6,0.95,0.53125,,0.0,LDA_SVM_subject
6,1.0,0.53125,,0.0,LDA_SVM_subject
7,0.55,0.7673611111111112,0.7950191570881227,0.90625,LDA_SVM_subject
7,0.6,0.7673611111111112,0.8135245901639344,0.8472222222222222,LDA_SVM_subject
7,0.65,0.7673611111111112,0.8344519015659956,0.7760416666666666,LDA_SVM_subject
7,0.7,0.7673611111111112,0.8586387434554974,0.6631944444444444,LDA_SVM_subject
7,0.75,0.7673611111111112,0.875,0.5555555555555556,LDA_SVM_subject
7,0.8,0.7673611111111112,0.9051724137931034,0.4027777777777778,LDA_SVM_subject
7,0.85,0.7673611111111112,0.9380530973451328,0.19618055555555555,LDA_SVM_subject
7,0.9,0.7673611111111112,0.9473684210526315,0.03298611111111111,LDA_SVM_subject
7,0.95,0.7673611111111112,,0.0,LDA_SVM_subject
7,1.0,0.7673611111111112,,0.0,LDA_SVM_subject
8,0.55,0.8125,0.861003861003861,0.8993055555555556,LDA_SVM_subject
8,0.6,0.8125,0.8800813008130082,0.8541666666666666,LDA_SVM_subject
8,0.65,0.8125,0.899343544857768,0.7934027777777778,LDA_SVM_subject
8,0.7,0.8125,0.9144254278728606,0.7100694444444444,LDA_SVM_subject
8,0.75,0.8125,0.9357541899441341,0.6215277777777778,LDA_SVM_subject
8,0.8,0.8125,0.9608540925266904,0.4878472222222222,LDA_SVM_subject
8,0.85,0.8125,0.9807692307692307,0.3611111111111111,LDA_SVM_subject
8,0.9,0.8125,1.0,0.125,LDA_SVM_subject
8,0.95,0.8125,,0.0,LDA_SVM_subject
8,1.0,0.8125,,0.0,LDA_SVM_subject
9,0.55,0.7413194444444444,0.8325991189427313,0.7881944444444444,LDA_SVM_subject
9,0.6,0.7413194444444444,0.8404761904761905,0.7291666666666666,LDA_SVM_subject
9,0.65,0.7413194444444444,0.8534031413612565,0.6631944444444444,LDA_SVM_subject
9,0.7,0.7413194444444444,0.8708708708708709,0.578125,LDA_SVM_subject
9,0.75,0.7413194444444444,0.9084249084249084,0.4739583333333333,LDA_SVM_subject
9,0.8,0.7413194444444444,0.9271844660194175,0.3576388888888889,LDA_SVM_subject
9,0.85,0.7413194444444444,0.9425287356321839,0.15104166666666666,LDA_SVM_subject
9,0.9,0.7413194444444444,,0.0,LDA_SVM_subject
9,0.95,0.7413194444444444,,0.0,LDA_SVM_subject
9,1.0,0.7413194444444444,,0.0,LDA_SVM_subject
