subject,LDA_acc,SVM_acc,RF_acc,best_model,best_acc,n_trials,n_classes
1,0.734375,0.765625,0.7673611111111112,RF,0.7673611111111112,576,4
2,0.6059027777777778,0.5763888888888888,0.5486111111111112,LDA,0.6059027777777778,576,4
3,0.8350694444444444,0.8125,0.8159722222222222,LDA,0.8350694444444444,576,4
4,0.578125,0.5711805555555556,0.5486111111111112,LDA,0.578125,576,4
5,0.3871527777777778,0.4010416666666667,0.4010416666666667,SVM,0.4010416666666667,576,4
6,0.53125,0.5104166666666666,0.515625,LDA,0.53125,576,4
7,0.7604166666666666,0.7604166666666666,0.7430555555555556,LDA,0.7604166666666666,576,4
8,0.8125,0.8107638888888888,0.7986111111111112,LDA,0.8125,576,4
9,0.7465277777777778,0.7361111111111112,0.7309027777777778,LDA,0.7465277777777778,576,4
