subject,threshold,ensemble_acc_all,ensemble_acc_confident,ensemble_coverage,ensemble_name
1,0.55,0.7552083333333334,0.791015625,0.8888888888888888,LDA_SVM_equal
1,0.6,0.7552083333333334,0.8029045643153527,0.8368055555555556,LDA_SVM_equal
1,0.65,0.7552083333333334,0.8413793103448276,0.7552083333333334,LDA_SVM_equal
1,0.7,0.7552083333333334,0.8673740053050398,0.6545138888888888,LDA_SVM_equal
1,0.75,0.7552083333333334,0.9052287581699346,0.53125,LDA_SVM_equal
1,0.8,0.7552083333333334,0.9330357142857143,0.3888888888888889,LDA_SVM_equal
1,0.85,0.7552083333333334,0.9391304347826087,0.1996527777777778,LDA_SVM_equal
1,0.9,0.7552083333333334,0.9545454545454546,0.03819444444444445,LDA_SVM_equal
1,0.95,0.7552083333333334,,0.0,LDA_SVM_equal
1,1.0,0.7552083333333334,,0.0,LDA_SVM_equal
2,0.55,0.5920138888888888,0.75,0.4861111111111111,LDA_SVM_equal
2,0.6,0.5920138888888888,0.8026315789473685,0.3958333333333333,LDA_SVM_equal
2,0.65,0.5920138888888888,0.8369565217391305,0.3194444444444444,LDA_SVM_equal
2,0.7,0.5920138888888888,0.8613138686131386,0.2378472222222222,LDA_SVM_equal
2,0.75,0.5920138888888888,0.875,0.18055555555555555,LDA_SVM_equal
2,0.8,0.5920138888888888,0.926829268292683,0.07118055555555555,LDA_SVM_equal
2,0.85,0.5920138888888888,,0.0,LDA_SVM_equal
2,0.9,0.5920138888888888,,0.0,LDA_SVM_equal
2,0.95,0.5920138888888888,,0.0,LDA_SVM_equal
2,1.0,0.5920138888888888,,0.0,LDA_SVM_equal
3,0.55,0.8194444444444444,0.8603773584905661,0.9201388888888888,LDA_SVM_equal
3,0.6,0.8194444444444444,0.8782435129740519,0.8697916666666666,LDA_SVM_equal
3,0.65,0.8194444444444444,0.9006342494714588,0.8211805555555556,LDA_SVM_equal
3,0.7,0.8194444444444444,0.9181818181818182,0.7638888888888888,LDA_SVM_equal
3,0.75,0.8194444444444444,0.9414758269720102,0.6822916666666666,LDA_SVM_equal
