subject,threshold,ensemble_acc_all,ensemble_acc_confident,ensemble_coverage,ensemble_name
1,0.55,0.7795138888888888,0.8070866141732284,0.8819444444444444,LDA_SVM_RF_equal
1,0.6,0.7795138888888888,0.8272138228941684,0.8038194444444444,LDA_SVM_RF_equal
1,0.65,0.7795138888888888,0.8413461538461539,0.7222222222222222,LDA_SVM_RF_equal
1,0.7,0.7795138888888888,0.8701657458563536,0.6284722222222222,LDA_SVM_RF_equal
1,0.75,0.7795138888888888,0.8963210702341137,0.5190972222222222,LDA_SVM_RF_equal
1,0.8,0.7795138888888888,0.9305555555555556,0.375,LDA_SVM_RF_equal
1,0.85,0.7795138888888888,0.9557522123893806,0.19618055555555555,LDA_SVM_RF_equal
1,0.9,0.7795138888888888,1.0,0.019097222222222224,LDA_SVM_RF_equal
1,0.95,0.7795138888888888,,0.0,LDA_SVM_RF_equal
1,1.0,0.7795138888888888,,0.0,LDA_SVM_RF_equal
2,0.55,0.5972222222222222,0.7509293680297398,0.4670138888888889,LDA_SVM_RF_equal
2,0.6,0.5972222222222222,0.7894736842105263,0.3628472222222222,LDA_SVM_RF_equal
2,0.65,0.5972222222222222,0.8417721518987342,0.2743055555555556,LDA_SVM_RF_equal
2,0.7,0.5972222222222222,0.8849557522123894,0.19618055555555555,LDA_SVM_RF_equal
2,0.75,0.5972222222222222,0.9125,0.1388888888888889,LDA_SVM_RF_equal
2,0.8,0.5972222222222222,0.8571428571428571,0.012152777777777778,LDA_SVM_RF_equal
2,0.85,0.5972222222222222,,0.0,LDA_SVM_RF_equal
2,0.9,0.5972222222222222,,0.0,LDA_SVM_RF_equal
2,0.95,0.5972222222222222,,0.0,LDA_SVM_RF_equal
2,1.0,0.5972222222222222,,0.0,LDA_SVM_RF_equal
3,0.55,0.8194444444444444,0.8711538461538462,0.9027777777777778,LDA_SVM_RF_equal
3,0.6,0.8194444444444444,0.8843813387423936,0.8559027777777778,LDA_SVM_RF_equal
3,0.65,0.8194444444444444,0.8948497854077253,0.8090277777777778,LDA_SVM_RF_equal
3,0.7,0.8194444444444444,0.9153318077803204,0.7586805555555556,LDA_SVM_RF_equal
3,0.75,0.8194444444444444,0.9348370927318296,0.6927083333333334,LDA_SVM_RF_equal
3,0.8,0.8194444444444444,0.9661538461538461,0.5642361111111112,LDA_SVM_RF_equal
3,0.85,0.8194444444444444,0.9760956175298805,0.4357638888888889,LDA_SVM_RF_equal
3,0.9,0.8194444444444444,1.0,0.11458333333333333,LDA_SVM_RF_equal
3,0.95,0.8194444444444444,,0.0,LDA_SVM_RF_equal
3,1.0,0.8194444444444444,,0.0,LDA_SVM_RF_equal
4,0.55,0.5625,0.7136752136752137,0.40625,LDA_SVM_RF_equal
4,0.6,0.5625,0.7516778523489933,0.2586805555555556,LDA_SVM_RF_equal
4,0.65,0.5625,0.8354430379746836,0.1371527777777778,LDA_SVM_RF_equal
4,0.7,0.5625,0.9411764705882353,0.029513888888888888,LDA_SVM_RF_equal
4,0.75,0.5625,,0.0,LDA_SVM_RF_equal
4,0.8,0.5625,,0.0,LDA_SVM_RF_equal
4,0.85,0.5625,,0.0,LDA_SVM_RF_equal
4,0.9,0.5625,,0.0,LDA_SVM_RF_equal
4,0.95,0.5625,,0.0,LDA_SVM_RF_equal
