subject,decoder,threshold,coverage,risk,accuracy
1,LDA,0.0,1.0,0.2743055555555556,0.7256944444444444
1,LDA,0.05,1.0,0.2743055555555556,0.7256944444444444
1,LDA,0.1,1.0,0.2743055555555556,0.7256944444444444
1,LDA,0.15,1.0,0.2743055555555556,0.7256944444444444
1,LDA,0.2,1.0,0.2743055555555556,0.7256944444444444
1,LDA,0.25,1.0,0.2743055555555556,0.7256944444444444
1,LDA,0.3,0.9930555555555556,0.2727272727272727,0.7272727272727273
1,LDA,0.35,0.9756944444444444,0.2597864768683274,0.7402135231316725
1,LDA,0.4,0.9270833333333334,0.23220973782771537,0.7677902621722846
1,LDA,0.45,0.8298611111111112,0.20920502092050208,0.7907949790794979
1,LDA,0.5,0.6736111111111112,0.16494845360824742,0.8350515463917526
1,LDA,0.55,0.5486111111111112,0.1518987341772152,0.8481012658227848
1,LDA,0.6,0.4375,0.14285714285714285,0.8571428571428571
1,LDA,0.65,0.3090277777777778,0.06741573033707865,0.9325842696629213
1,LDA,0.7,0.18055555555555555,0.0,1.0
1,LDA,0.75,0.11458333333333333,0.0,1.0
1,LDA,0.8,0.05555555555555555,0.0,1.0
1,LDA,0.85,0.010416666666666666,0.0,1.0
1,LDA,0.9,0.0,,
1,LDA,0.95,0.0,,
1,LDA,1.0,0.0,,
2,LDA,0.0,1.0,0.75,0.25
2,LDA,0.05,1.0,0.75,0.25
2,LDA,0.1,1.0,0.75,0.25
2,LDA,0.15,1.0,0.75,0.25
2,LDA,0.2,1.0,0.75,0.25
2,LDA,0.25,1.0,0.75,0.25
2,LDA,0.3,1.0,0.75,0.25
2,LDA,0.35,1.0,0.75,0.25
2,LDA,0.4,1.0,0.75,0.25
2,LDA,0.45,0.9930555555555556,0.7482517482517482,0.2517482517482518
2,LDA,0.5,0.8854166666666666,0.7176470588235294,0.2823529411764706
2,LDA,0.55,0.4861111111111111,0.5857142857142857,0.4142857142857143
2,LDA,0.6,0.04513888888888889,0.07692307692307693,0.9230769230769231
2,LDA,0.65,0.0,,
2,LDA,0.7,0.0,,
2,LDA,0.75,0.0,,
2,LDA,0.8,0.0,,
2,LDA,0.85,0.0,,
2,LDA,0.9,0.0,,
2,LDA,0.95,0.0,,
2,LDA,1.0,0.0,,
3,LDA,0.0,1.0,0.2361111111111111,0.7638888888888888
3,LDA,0.05,1.0,0.2361111111111111,0.7638888888888888
3,LDA,0.1,1.0,0.2361111111111111,0.7638888888888888
3,LDA,0.15,1.0,0.2361111111111111,0.7638888888888888
3,LDA,0.2,1.0,0.2361111111111111,0.7638888888888888
3,LDA,0.25,1.0,0.2361111111111111,0.7638888888888888
3,LDA,0.3,0.9965277777777778,0.23344947735191637,0.7665505226480837
3,LDA,0.35,0.9826388888888888,0.22968197879858657,0.7703180212014135
3,LDA,0.4,0.9375,0.2222222222222222,0.7777777777777778
3,LDA,0.45,0.8680555555555556,0.188,0.812
3,LDA,0.5,0.7465277777777778,0.16744186046511628,0.8325581395348837
3,LDA,0.55,0.6284722222222222,0.12154696132596685,0.8784530386740331
3,LDA,0.6,0.5069444444444444,0.08904109589041095,0.910958904109589
3,LDA,0.65,0.40625,0.05128205128205128,0.9487179487179487
3,LDA,0.7,0.2743055555555556,0.02531645569620253,0.9746835443037974
3,LDA,0.75,0.1875,0.018518518518518517,0.9814814814814815
3,LDA,0.8,0.0763888888888889,0.0,1.0
3,LDA,0.85,0.024305555555555556,0.0,1.0
3,LDA,0.9,0.0,,
3,LDA,0.95,0.0,,
3,LDA,1.0,0.0,,
4,LDA,0.0,1.0,0.75,0.25
4,LDA,0.05,1.0,0.75,0.25
4,LDA,0.1,1.0,0.75,0.25
4,LDA,0.15,1.0,0.75,0.25
4,LDA,0.2,1.0,0.75,0.25
4,LDA,0.25,1.0,0.75,0.25
4,LDA,0.3,1.0,0.75,0.25
4,LDA,0.35,0.4444444444444444,0.6328125,0.3671875
4,LDA,0.4,0.04861111111111111,0.5,0.5
4,LDA,0.45,0.010416666666666666,0.6666666666666666,0.3333333333333333
4,LDA,0.5,0.0,,
4,LDA,0.55,0.0,,
4,LDA,0.6,0.0,,
4,LDA,0.65,0.0,,
4,LDA,0.7,0.0,,
4,LDA,0.75,0.0,,
4,LDA,0.8,0.0,,
4,LDA,0.85,0.0,,
4,LDA,0.9,0.0,,
4,LDA,0.95,0.0,,
4,LDA,1.0,0.0,,
5,LDA,0.0,1.0,0.6944444444444444,0.3055555555555556
5,LDA,0.05,1.0,0.6944444444444444,0.3055555555555556
5,LDA,0.1,1.0,0.6944444444444444,0.3055555555555556
5,LDA,0.15,1.0,0.6944444444444444,0.3055555555555556
5,LDA,0.2,1.0,0.6944444444444444,0.3055555555555556
5,LDA,0.25,1.0,0.6944444444444444,0.3055555555555556
5,LDA,0.3,1.0,0.6944444444444444,0.3055555555555556
5,LDA,0.35,1.0,0.6944444444444444,0.3055555555555556
5,LDA,0.4,0.9965277777777778,0.6933797909407665,0.30662020905923343
5,LDA,0.45,0.16666666666666666,0.625,0.375
5,LDA,0.5,0.0,,
5,LDA,0.55,0.0,,
5,LDA,0.6,0.0,,
5,LDA,0.65,0.0,,
5,LDA,0.7,0.0,,
5,LDA,0.75,0.0,,
5,LDA,0.8,0.0,,
5,LDA,0.85,0.0,,
5,LDA,0.9,0.0,,
5,LDA,0.95,0.0,,
5,LDA,1.0,0.0,,
6,LDA,0.0,1.0,0.75,0.25
6,LDA,0.05,1.0,0.75,0.25
6,LDA,0.1,1.0,0.75,0.25
