subject,delta_ensemble_minus_lda
1,0.1040462427745664
2,0.2196531791907515
3,0.0693641618497109
4,0.0867052023121387
5,0.0520231213872832
6,0.0404624277456647
7,0.2658959537572254
8,-0.138728323699422
9,0.10062893081761
