subject,n_train,n_test,adaptation,coverage,ensemble_threshold_at_coverage,lda_threshold_at_coverage,ensemble_acc_matched_coverage,lda_acc_matched_coverage,delta_ensemble_minus_lda,ensemble_acc_all,lda_acc_all
1,288,288,euclidean,0.6,0.5938523254491938,0.5210926338658292,0.9479768786127167,0.8439306358381503,0.10404624277456642,0.78125,0.7256944444444444
2,288,288,euclidean,0.6,0.3031159229627567,0.5382392952067055,0.5664739884393064,0.3468208092485549,0.2196531791907515,0.4548611111111111,0.25
3,288,288,euclidean,0.6,0.6467070699904098,0.5615467970643422,0.9595375722543352,0.8901734104046243,0.06936416184971095,0.8611111111111112,0.7638888888888888
4,288,288,euclidean,0.6,0.30109849395157223,0.34316324822602556,0.41040462427745666,0.3236994219653179,0.08670520231213874,0.3055555555555556,0.25
5,288,288,euclidean,0.6,0.37239037240861783,0.43267721457684244,0.36416184971098264,0.31213872832369943,0.05202312138728321,0.2951388888888889,0.3055555555555556
6,288,288,euclidean,0.6,0.3689817599755757,0.5319480511290655,0.36416184971098264,0.3236994219653179,0.04046242774566472,0.2708333333333333,0.25
7,288,288,euclidean,0.6,0.41645518716476815,0.3866713958370905,0.7803468208092486,0.5144508670520231,0.2658959537572254,0.7291666666666666,0.3715277777777778
8,288,288,euclidean,0.6,0.3952992577888297,0.39223839528435817,0.5722543352601156,0.7109826589595376,-0.138728323699422,0.5486111111111112,0.6145833333333334
9,277,264,euclidean,0.6,0.4020058512033748,0.3559692852568223,0.5534591194968553,0.4528301886792453,0.10062893081761004,0.4772727272727273,0.38257575757575757
