subject,threshold,ensemble_acc_all,ensemble_acc_confident,ensemble_coverage,ensemble_name
1,0.55,0.6888888888888889,0.6744186046511628,0.9555555555555556,LDA_SVM_RF_equal
1,0.6,0.6888888888888889,0.7,0.8888888888888888,LDA_SVM_RF_equal
1,0.65,0.6888888888888889,0.7428571428571429,0.7777777777777778,LDA_SVM_RF_equal
1,0.7,0.6888888888888889,0.7586206896551724,0.6444444444444445,LDA_SVM_RF_equal
1,0.75,0.6888888888888889,0.8636363636363636,0.4888888888888889,LDA_SVM_RF_equal
1,0.8,0.6888888888888889,0.8888888888888888,0.4,LDA_SVM_RF_equal
1,0.85,0.6888888888888889,1.0,0.2222222222222222,LDA_SVM_RF_equal
1,0.9,0.6888888888888889,1.0,0.1111111111111111,LDA_SVM_RF_equal
1,0.95,0.6888888888888889,1.0,0.022222222222222223,LDA_SVM_RF_equal
1,1.0,0.6888888888888889,,0.0,LDA_SVM_RF_equal
2,0.55,0.8444444444444444,0.9230769230769231,0.8666666666666667,LDA_SVM_RF_equal
2,0.6,0.8444444444444444,0.918918918918919,0.8222222222222222,LDA_SVM_RF_equal
2,0.65,0.8444444444444444,0.9411764705882353,0.7555555555555555,LDA_SVM_RF_equal
2,0.7,0.8444444444444444,0.9333333333333333,0.6666666666666666,LDA_SVM_RF_equal
2,0.75,0.8444444444444444,0.9565217391304348,0.5111111111111111,LDA_SVM_RF_equal
2,0.8,0.8444444444444444,0.9473684210526315,0.4222222222222222,LDA_SVM_RF_equal
2,0.85,0.8444444444444444,0.9230769230769231,0.28888888888888886,LDA_SVM_RF_equal
2,0.9,0.8444444444444444,1.0,0.08888888888888889,LDA_SVM_RF_equal
2,0.95,0.8444444444444444,,0.0,LDA_SVM_RF_equal
2,1.0,0.8444444444444444,,0.0,LDA_SVM_RF_equal
3,0.55,0.4888888888888889,0.5,0.8888888888888888,LDA_SVM_RF_equal
3,0.6,0.4888888888888889,0.42857142857142855,0.7777777777777778,LDA_SVM_RF_equal
3,0.65,0.4888888888888889,0.43333333333333335,0.6666666666666666,LDA_SVM_RF_equal
3,0.7,0.4888888888888889,0.5217391304347826,0.5111111111111111,LDA_SVM_RF_equal
3,0.75,0.4888888888888889,0.55,0.4444444444444444,LDA_SVM_RF_equal
3,0.8,0.4888888888888889,0.5294117647058824,0.37777777777777777,LDA_SVM_RF_equal
3,0.85,0.4888888888888889,0.6428571428571429,0.3111111111111111,LDA_SVM_RF_equal
3,0.9,0.4888888888888889,0.8571428571428571,0.15555555555555556,LDA_SVM_RF_equal
3,0.95,0.4888888888888889,1.0,0.022222222222222223,LDA_SVM_RF_equal
3,1.0,0.4888888888888889,,0.0,LDA_SVM_RF_equal
4,0.55,0.5777777777777777,0.631578947368421,0.8444444444444444,LDA_SVM_RF_equal
4,0.6,0.5777777777777777,0.6111111111111112,0.8,LDA_SVM_RF_equal
4,0.65,0.5777777777777777,0.6363636363636364,0.7333333333333333,LDA_SVM_RF_equal
4,0.7,0.5777777777777777,0.6296296296296297,0.6,LDA_SVM_RF_equal
