subject,threshold,ensemble_acc_all,ensemble_acc_confident,ensemble_coverage,toggle_rate,wrong_fire_rate_all,t_on,t_off,k,n
1,0.0,0.7326388888888888,0.241635687732342,0.9340277777777778,0.003484320557491289,0.7083333333333334,0.0,0.0,4.0,5.0
1,0.55,0.7326388888888888,0.25,0.2222222222222222,0.006968641114982578,0.16666666666666666,0.55,0.45000000000000007,4.0,5.0
1,0.6,0.7326388888888888,0.38461538461538464,0.04513888888888889,0.006968641114982578,0.027777777777777776,0.6,0.5,4.0,5.0
1,0.65,0.7326388888888888,,0.0,0.0,0.0,0.65,0.55,4.0,5.0
1,0.7,0.7326388888888888,,0.0,0.0,0.0,0.7,0.6,4.0,5.0
1,0.75,0.7326388888888888,,0.0,0.0,0.0,0.75,0.65,4.0,5.0
2,0.0,0.5416666666666666,0.24814814814814815,0.9375,0.003484320557491289,0.7048611111111112,0.0,0.0,4.0,5.0
2,0.55,0.5416666666666666,0.21739130434782608,0.0798611111111111,0.020905923344947737,0.0625,0.55,0.45000000000000007,4.0,5.0
2,0.6,0.5416666666666666,0.3333333333333333,0.010416666666666666,0.006968641114982578,0.006944444444444444,0.6,0.5,4.0,5.0
2,0.65,0.5416666666666666,0.3333333333333333,0.010416666666666666,0.006968641114982578,0.006944444444444444,0.65,0.55,4.0,5.0
2,0.7,0.5416666666666666,,0.0,0.0,0.0,0.7,0.6,4.0,5.0
2,0.75,0.5416666666666666,,0.0,0.0,0.0,0.75,0.65,4.0,5.0
3,0.0,0.7708333333333334,0.24647887323943662,0.9861111111111112,0.003484320557491289,0.7430555555555556,0.0,0.0,4.0,5.0
3,0.55,0.7708333333333334,0.25,0.1388888888888889,0.020905923344947737,0.10416666666666667,0.55,0.45000000000000007,4.0,5.0
3,0.6,0.7708333333333334,0.35294117647058826,0.059027777777777776,0.020905923344947737,0.03819444444444445,0.6,0.5,4.0,5.0
3,0.65,0.7708333333333334,0.75,0.013888888888888888,0.013937282229965157,0.003472222222222222,0.65,0.55,4.0,5.0
3,0.7,0.7708333333333334,1.0,0.006944444444444444,0.006968641114982578,0.0,0.7,0.6,4.0,5.0
3,0.75,0.7708333333333334,,0.0,0.0,0.0,0.75,0.65,4.0,5.0
4,0.0,0.5347222222222222,0.24734982332155478,0.9826388888888888,0.003484320557491289,0.7395833333333334,0.0,0.0,4.0,5.0
4,0.55,0.5347222222222222,0.2727272727272727,0.03819444444444445,0.013937282229965157,0.027777777777777776,0.55,0.45000000000000007,4.0,5.0
4,0.6,0.5347222222222222,,0.0,0.0,0.0,0.6,0.5,4.0,5.0
4,0.65,0.5347222222222222,,0.0,0.0,0.0,0.65,0.55,4.0,5.0
4,0.7,0.5347222222222222,,0.0,0.0,0.0,0.7,0.6,4.0,5.0
4,0.75,0.5347222222222222,,0.0,0.0,0.0,0.75,0.65,4.0,5.0
5,0.0,0.4340277777777778,0.24468085106382978,0.9791666666666666,0.003484320557491289,0.7395833333333334,0.0,0.0,4.0,5.0
5,0.55,0.4340277777777778,,0.0,0.0,0.0,0.55,0.45000000000000007,4.0,5.0
5,0.6,0.4340277777777778,,0.0,0.0,0.0,0.6,0.5,4.0,5.0
5,0.65,0.4340277777777778,,0.0,0.0,0.0,0.65,0.55,4.0,5.0
5,0.7,0.4340277777777778,,0.0,0.0,0.0,0.7,0.6,4.0,5.0
5,0.75,0.4340277777777778,,0.0,0.0,0.0,0.75,0.65,4.0,5.0
6,0.0,0.5034722222222222,0.2535211267605634,0.7395833333333334,0.003484320557491289,0.5520833333333334,0.0,0.0,4.0,5.0
6,0.55,0.5034722222222222,,0.0,0.0,0.0,0.55,0.45000000000000007,4.0,5.0
6,0.6,0.5034722222222222,,0.0,0.0,0.0,0.6,0.5,4.0,5.0
6,0.65,0.5034722222222222,,0.0,0.0,0.0,0.65,0.55,4.0,5.0
6,0.7,0.5034722222222222,,0.0,0.0,0.0,0.7,0.6,4.0,5.0
6,0.75,0.5034722222222222,,0.0,0.0,0.0,0.75,0.65,4.0,5.0
7,0.0,0.78125,0.24381625441696114,0.9826388888888888,0.003484320557491289,0.7430555555555556,0.0,0.0,4.0,5.0
7,0.55,0.78125,0.22602739726027396,0.5069444444444444,0.024390243902439025,0.3923611111111111,0.55,0.45000000000000007,4.0,5.0
7,0.6,0.78125,0.24193548387096775,0.2152777777777778,0.027874564459930314,0.16319444444444445,0.6,0.5,4.0,5.0
7,0.65,0.78125,0.2222222222222222,0.09375,0.013937282229965157,0.07291666666666667,0.65,0.55,4.0,5.0
7,0.7,0.78125,0.23076923076923078,0.09027777777777778,0.013937282229965157,0.06944444444444445,0.7,0.6,4.0,5.0
