ensemble_acc_all,ensemble_acc_confident,threshold,ensemble_coverage,subject,ensemble_name
0.75,0.75,0.0,1.0,1,Main: LDA+SVM (equal)
0.75,0.7827868852459017,0.55,0.8472222222222222,1,Main: LDA+SVM (equal)
0.75,0.7982062780269058,0.6,0.7743055555555556,1,Main: LDA+SVM (equal)
0.75,0.82,0.65,0.6944444444444444,1,Main: LDA+SVM (equal)
0.75,0.8448275862068966,0.7,0.6041666666666666,1,Main: LDA+SVM (equal)
0.75,0.8723404255319149,0.75,0.4895833333333333,1,Main: LDA+SVM (equal)
0.6041666666666666,0.6041666666666666,0.0,1.0,2,Main: LDA+SVM (equal)
0.6041666666666666,0.7435897435897436,0.55,0.5416666666666666,2,Main: LDA+SVM (equal)
0.6041666666666666,0.7819548872180451,0.6,0.4618055555555556,2,Main: LDA+SVM (equal)
0.6041666666666666,0.8103448275862069,0.65,0.4027777777777778,2,Main: LDA+SVM (equal)
0.6041666666666666,0.8571428571428571,0.7,0.3402777777777778,2,Main: LDA+SVM (equal)
0.6041666666666666,0.868421052631579,0.75,0.2638888888888889,2,Main: LDA+SVM (equal)
0.7673611111111112,0.7673611111111112,0.0,1.0,3,Main: LDA+SVM (equal)
0.7673611111111112,0.8072289156626506,0.55,0.8645833333333334,3,Main: LDA+SVM (equal)
0.7673611111111112,0.8425531914893617,0.6,0.8159722222222222,3,Main: LDA+SVM (equal)
0.7673611111111112,0.8584474885844748,0.65,0.7604166666666666,3,Main: LDA+SVM (equal)
0.7673611111111112,0.8823529411764706,0.7,0.6493055555555556,3,Main: LDA+SVM (equal)
0.7673611111111112,0.9151515151515152,0.75,0.5729166666666666,3,Main: LDA+SVM (equal)
0.4166666666666667,0.4166666666666667,0.0,1.0,4,Main: LDA+SVM (equal)
0.4166666666666667,0.4,0.55,0.1388888888888889,4,Main: LDA+SVM (equal)
0.4166666666666667,0.3809523809523809,0.6,0.0729166666666666,4,Main: LDA+SVM (equal)
0.4166666666666667,0.375,0.65,0.0277777777777777,4,Main: LDA+SVM (equal)
0.4166666666666667,1.0,0.7,0.0069444444444444,4,Main: LDA+SVM (equal)
0.4166666666666667,,0.75,0.0,4,Main: LDA+SVM (equal)
0.3888888888888889,0.3888888888888889,0.0,1.0,5,Main: LDA+SVM (equal)
0.3888888888888889,0.6363636363636364,0.55,0.0381944444444444,5,Main: LDA+SVM (equal)
0.3888888888888889,0.8333333333333334,0.6,0.0208333333333333,5,Main: LDA+SVM (equal)
0.3888888888888889,0.75,0.65,0.0138888888888888,5,Main: LDA+SVM (equal)
0.3888888888888889,,0.7,0.0,5,Main: LDA+SVM (equal)
0.3888888888888889,,0.75,0.0,5,Main: LDA+SVM (equal)
0.4340277777777778,0.4340277777777778,0.0,1.0,6,Main: LDA+SVM (equal)
0.4340277777777778,0.3723404255319149,0.55,0.3263888888888889,6,Main: LDA+SVM (equal)
0.4340277777777778,0.4166666666666667,0.6,0.2083333333333333,6,Main: LDA+SVM (equal)
0.4340277777777778,0.5238095238095238,0.65,0.1458333333333333,6,Main: LDA+SVM (equal)
0.4340277777777778,0.7,0.7,0.0694444444444444,6,Main: LDA+SVM (equal)
0.4340277777777778,0.7142857142857143,0.75,0.0243055555555555,6,Main: LDA+SVM (equal)
0.7395833333333334,0.7395833333333334,0.0,1.0,7,Main: LDA+SVM (equal)
0.7395833333333334,0.7745901639344263,0.55,0.8472222222222222,7,Main: LDA+SVM (equal)
0.7395833333333334,0.783410138248848,0.6,0.7534722222222222,7,Main: LDA+SVM (equal)
0.7395833333333334,0.7958115183246073,0.65,0.6631944444444444,7,Main: LDA+SVM (equal)
0.7395833333333334,0.8209876543209876,0.7,0.5625,7,Main: LDA+SVM (equal)
0.7395833333333334,0.8235294117647058,0.75,0.4722222222222222,7,Main: LDA+SVM (equal)
0.7152777777777778,0.7152777777777778,0.0,1.0,8,Main: LDA+SVM (equal)
0.7152777777777778,0.7949790794979079,0.55,0.8298611111111112,8,Main: LDA+SVM (equal)
0.7152777777777778,0.8186046511627907,0.6,0.7465277777777778,8,Main: LDA+SVM (equal)
0.7152777777777778,0.8429319371727748,0.65,0.6631944444444444,8,Main: LDA+SVM (equal)
0.7152777777777778,0.8529411764705882,0.7,0.5902777777777778,8,Main: LDA+SVM (equal)
0.7152777777777778,0.8848920863309353,0.75,0.4826388888888889,8,Main: LDA+SVM (equal)
0.5703971119133574,0.5703971119133574,0.0,1.0,9,Main: LDA+SVM (equal)
0.5703971119133574,0.6241610738255033,0.55,0.5379061371841155,9,Main: LDA+SVM (equal)
0.5703971119133574,0.652542372881356,0.6,0.4259927797833935,9,Main: LDA+SVM (equal)
0.5703971119133574,0.6813186813186813,0.65,0.3285198555956679,9,Main: LDA+SVM (equal)
0.5703971119133574,0.7076923076923077,0.7,0.2346570397111913,9,Main: LDA+SVM (equal)
0.5703971119133574,0.75,0.75,0.1732851985559566,9,Main: LDA+SVM (equal)
